t;k;z;done;failed
89.99217143532192;1;1;48;52
90.3321262422721;0;0;49;52
91.55663037113439;1;1;49;52
91.80037947892856;1;1;49;53
91.95808908195345;1;1;49;54
92.61150388744687;1;1;49;55
94.68640498051523;0;0;50;55
94.76760614909352;1;1;50;55
95.30282181151463;0;0;51;55
95.85153403973261;1;1;51;55
96.46613430399637;1;1;51;56
97.10792046316718;0;0;52;56
97.24060712155728;1;1;52;56
97.52303571019768;1;1;52;57
97.5781601889793;0;0;53;57
98.39653787709807;1;1;53;57
98.44638473362954;1;1;53;58
98.86497014977658;1;1;53;59
99.03156348931458;1;1;53;60
99.78397666555604;0;0;54;60
100.25676193776366;1;1;54;60
102.63344706700182;0;0;55;60
102.79105988022182;1;1;55;60
103.61682709153295;1;1;55;61
105.63034504498584;0;0;56;61
106.34056654543184;1;1;56;61
106.94292518745166;0;0;57;61
107.18530969898086;1;1;57;61
107.92006245959517;0;0;58;61
107.92698950473594;1;1;58;61
108.06886907676923;0;0;59;61
108.49796605899319;1;1;59;61
109.37886175316996;1;1;59;62
109.94227315699138;1;1;59;63
110.1814357761156;0;0;60;63
111.18076999786486;1;1;60;63
112.87289704481277;0;0;61;63
113.13532744903358;1;1;61;63
113.18994571332429;1;1;61;64
113.71858721940126;1;1;61;65
113.73954213069209;1;1;61;66
113.82712606000645;1;1;61;67
114.13020876859562;0;0;62;67
114.60281719832521;1;1;62;67
115.56499673254685;1;1;62;68
115.78803924546179;1;1;62;69
115.81188180375614;1;1;62;70
115.97857900316014;0;0;63;70
116.35224417487598;1;1;63;70
116.56473835528807;0;0;64;70
116.89317327619233;1;1;64;70
118.10801662414462;1;1;64;71
119.41639276213705;0;0;65;71
119.51084214630652;1;1;65;71
121.69343961289043;0;0;66;71
122.30944817646899;1;1;66;71
122.34941836205856;1;1;66;72
122.39400881596876;1;1;66;73
123.19393374596038;0;0;67;73
123.27759376251353;1;1;67;73
124.66645816359862;1;1;67;74
128.46445152584147;0;0;68;74
128.970914252914;1;1;68;74
130.72432047578516;0;0;69;74
130.88828207145866;1;1;69;74
130.966482611639;0;0;70;74
132.93489192160615;1;1;70;74
133.43960927149428;0;0;71;74
134.3527496578708;1;1;71;74
135.33215298083172;0;0;72;74
135.88271936770957;1;1;72;74
136.15401430191793;1;1;72;75
136.41914870051258;1;1;72;76
136.4653110053359;0;0;73;76
136.53143808915863;1;1;73;76
138.77000185591615;0;0;74;76
138.8807926122278;1;1;74;76
139.27347381560296;0;0;75;76
139.32464431824755;1;1;75;76
139.51188059946938;1;1;75;77
140.90029550776197;0;0;76;77
140.94983344372702;1;1;76;77
141.54948628140258;0;0;77;77
141.69065256588615;1;1;77;77
143.08126697740224;0;0;78;77
143.38618846000276;1;1;78;77
144.6237717513124;0;0;79;77
144.97144980050427;1;1;79;77
146.1412906022029;0;0;80;77
147.13995132246743;1;1;80;77
149.19472610028862;0;0;81;77
149.2387533197535;1;1;81;77
150.25001097208354;1;1;81;78
150.26463084497087;1;1;81;79
151.56248679758113;1;1;81;80
152.5230925208356;0;0;82;80
153.79242069298974;1;1;82;80
156.45308726892418;0;0;83;80
156.53215867022533;1;1;83;80
156.72919331479494;1;1;83;81
157.28292021984245;1;1;83;82
159.2962530324215;0;0;84;82
159.38222278438207;1;1;84;82
159.95976043652374;0;0;85;82
160.38834965417027;1;1;85;82
160.90918283694995;0;0;86;82
161.22899928700664;1;1;86;82
162.1640216467855;0;0;87;82
162.20797207534238;1;1;87;82
162.70894871195586;0;0;88;82
162.99299371657852;1;1;88;82
163.21504567457663;1;1;88;83
163.3484594943142;0;0;89;83
163.66372682536908;1;1;89;83
164.26685598377455;0;0;90;83
165.50345021926245;1;1;90;83
165.80783700509622;1;1;90;84
169.3534921901613;0;0;91;84
169.648056602236;1;1;91;84
170.2446588952263;0;0;92;84
171.11716685247015;1;1;92;84
171.4540249660014;1;1;92;85
171.65486262930557;1;1;92;86
173.10115074289837;0;0;93;86
173.25394132270392;1;1;93;86
174.21933998988337;0;0;94;86
174.92901034856456;1;1;94;86
175.87441428716505;0;0;95;86
176.00936391857502;1;1;95;86
177.19602890585855;0;0;96;86
177.93067231428233;1;1;96;86
179.8805125009315;1;1;96;87
180.38516686653392;1;1;96;88
180.50843762803208;0;0;97;88
180.77029496633463;1;1;97;88
181.920732132408;0;0;98;88
182.0616128385936;1;1;98;88
183.1464402800233;1;1;98;89
183.6934747564616;0;0;99;89
184.5014435056719;1;1;99;89
184.60579136301533;0;0;100;89
185.0913772609165;1;1;100;89
185.79736557586747;1;1;100;90
186.22567281344814;1;1;100;91
186.30118153669275;1;1;100;92
186.56296726484095;1;1;100;93
186.6620410399925;1;1;100;94
186.69940546702966;1;1;100;95
191.68761317305402;0;0;101;95
192.3601050738257;1;1;101;95
192.38212052017604;1;1;101;96
192.5169440044352;1;1;101;97
192.72392934625108;1;1;101;98
193.0430717242299;0;0;102;98
193.80397639706683;1;1;102;98
193.83712507009827;0;0;103;98
194.09584830069392;1;1;103;98
194.35024824351774;0;0;104;98
194.6868748130353;1;1;104;98
196.07129307332352;0;0;105;98
196.073932871399;1;1;105;98
196.31289363816774;0;0;106;98
196.5505603611056;1;1;106;98
197.1420528197423;1;1;106;99
197.78639565528013;0;0;107;99
198.18739955435188;1;1;107;99
198.30235396630488;0;0;108;99
198.9883800308523;1;1;108;99
199.33843712979217;1;1;108;100
199.59031223948477;0;0;109;100
200.0959521845938;1;1;109;100
202.35186566137244;0;0;110;100
203.67636031240906;1;1;110;100
204.1817948089828;0;0;111;100
204.2086438086916;1;1;111;100
204.31363220596955;0;0;112;100
204.74171391673272;1;1;112;100
205.33662496547467;0;0;113;100
206.93552283063428;1;1;113;100
207.1024975867675;1;1;113;101
207.35782966495324;1;1;113;102
208.18677838667224;1;1;113;103
208.76906597964694;1;1;113;104
208.97696540627615;1;1;113;105
209.7110919000942;1;1;113;106
210.76486890873875;1;1;113;107
211.81719374443537;0;0;114;107
211.86076030688005;1;1;114;107
212.27552085395865;1;1;114;108
212.64711931693805;1;1;114;109
212.65329742304073;1;1;114;110
212.87646623554994;1;1;114;111
213.23485759224624;1;1;114;112
214.15177768880935;0;0;115;112
214.55951195902577;1;1;115;112
215.0114117899421;1;1;115;113
215.3073028017665;1;1;115;114
215.43397109413453;1;1;115;115
215.55517536078455;1;1;115;116
215.69196556118106;1;1;115;117
217.12816591283743;0;0;116;117
217.55488145506772;1;1;116;117
217.68575026502197;1;1;116;118
217.86958238501998;0;0;117;118
218.87785211916696;1;1;117;118
220.65332954559392;0;0;118;118
220.7188091325579;1;1;118;118
221.61356350717966;0;0;119;118
221.66248388816027;1;1;119;118
221.9169348383456;1;1;119;119
223.04298962714458;0;0;120;119
223.25716798390292;1;1;120;119
223.95448313193017;0;0;121;119
224.0671535976972;1;1;121;119
224.95724593636712;1;1;121;120
225.5718948111049;1;1;121;121
226.300040085949;1;1;121;122
227.6752457257441;0;0;122;122
228.01553826484027;1;1;122;122
228.18052020716704;1;1;122;123
230.1525273405642;0;0;123;123
231.6092958914998;1;1;123;123
232.40546704604733;1;1;123;124
236.671183870022;0;0;124;124
237.28576480882333;1;1;124;124
238.14038947938388;0;0;125;124
239.02707610545318;1;1;125;124
241.47375206727972;0;0;126;124
242.25013988506808;1;1;126;124
242.58872878686432;1;1;126;125
243.78955664828968;0;0;127;125
244.04383985924466;1;1;127;125
244.21813881546544;1;1;127;126
245.64151139913815;0;0;128;126
245.83311309695057;1;1;128;126
246.3687521007809;0;0;129;126
246.39352268065963;1;1;129;126
246.8399469153968;1;1;129;127
247.96196224728124;0;0;130;127
248.28199373070055;1;1;130;127
248.4642039703341;1;1;130;128
250.86085015449493;0;0;131;128
251.12206318594195;1;1;131;128
252.45829476205867;0;0;132;128
252.79978212544793;1;1;132;128
253.86851731240648;0;0;133;128
255.3043158270935;1;1;133;128
255.73189028840585;1;1;133;129
256.83429890541146;1;1;133;130
257.3954658993742;1;1;133;131
258.09837823509133;0;0;134;131
258.4056638071063;1;1;134;131
258.4367063392339;1;1;134;132
259.74540298167335;1;1;134;133
260.2260314046213;1;1;134;134
260.7546172943252;0;0;135;134
260.8339521825542;1;1;135;134
262.2231843977692;0;0;136;134
262.39247395717257;1;1;136;134
263.53108236562605;0;0;137;134
264.002100618776;1;1;137;134
264.73599562281714;0;0;138;134
265.19106140865733;1;1;138;134
265.2850338701459;0;0;139;134
266.31823479616054;1;1;139;134
267.24554991060467;0;0;140;134
267.58148216958324;1;1;140;134
269.2281659335587;0;0;141;134
270.1087845933316;1;1;141;134
271.055350418669;0;0;142;134
271.59899520913024;1;1;142;134
272.21316862920554;1;1;142;135
272.34273439236154;1;1;142;136
272.3637751002691;1;1;142;137
273.6741960218916;0;0;143;137
273.6940540409335;1;1;143;137
274.20624080339024;0;0;144;137
274.73401772579604;1;1;144;137
276.47330895409374;0;0;145;137
277.1233527937668;1;1;145;137
278.1710317011265;0;0;146;137
279.3508401769908;1;1;146;137
281.13079242205816;1;1;146;138
281.49746585484036;1;1;146;139
282.041463502015;0;0;147;139
283.8043236216797;1;1;147;139
284.72462484790043;1;1;147;140
284.9202391834747;0;0;148;140
285.7640921954198;1;1;148;140
286.0696546564488;0;0;149;140
286.7285001718755;1;1;149;140
286.89746765970386;1;1;149;141
288.2005640967784;0;0;150;141
288.2460418518028;1;1;150;141
288.35672618599403;1;1;150;142
291.61451875081684;0;0;151;142
291.7545537775808;1;1;151;142
292.7851510389509;1;1;151;143
293.1853858780506;1;1;151;144
293.264256813887;0;0;152;144
293.3877709399879;1;1;152;144
294.39899386355876;0;0;153;144
294.73469479277577;1;1;153;144
296.48658877722187;0;0;154;144
296.9656500582759;1;1;154;144
297.07793666995497;1;1;154;145
298.50344087445325;0;0;155;145
298.5464319138755;1;1;155;145
299.8143392020662;1;1;155;146
300.0130195873945;1;1;155;147
300.16908503646573;1;1;155;148
300.2217697343728;1;1;155;149
300.22932446489045;1;1;155;150
300.7260018555545;0;0;156;150
300.7909519840245;1;1;156;150
301.8000210117813;0;0;157;150
302.9155160874882;1;1;157;150
303.6612104283478;1;1;157;151
305.3773229958494;0;0;158;151
305.80439046488254;1;1;158;151
305.8892040092846;1;1;158;152
306.9930701421921;0;0;159;152
307.5718039924091;1;1;159;152
310.31414850651606;0;0;160;152
310.78469608143945;1;1;160;152
312.12076090214623;0;0;161;152
313.89041746440734;1;1;161;152
314.3857036535374;1;1;161;153
317.2379131886856;0;0;162;153
317.25751824952044;1;1;162;153
317.80563141454303;0;0;163;153
319.01462919310586;1;1;163;153
319.0388149408979;0;0;164;153
319.10182122479216;1;1;164;153
319.58495455490703;0;0;165;153
319.6773415056329;1;1;165;153
321.41025644490367;1;1;165;154
325.78419447101095;0;0;166;154
326.278062315616;1;1;166;154
327.3213014680318;1;1;166;155
327.9250211814404;0;0;167;155
328.3413475289802;1;1;167;155
328.4734392885022;1;1;167;156
329.6308664009752;0;0;168;156
329.7646812804904;1;1;168;156
331.3217147224455;0;0;169;156
331.4546374148361;1;1;169;156
332.7884882106771;0;0;170;156
332.99926413132835;1;1;170;156
334.9253605344404;0;0;171;156
335.3389952213681;1;1;171;156
335.80440916420105;1;1;171;157
336.23242652017933;1;1;171;158
337.9281371382042;0;0;172;158
338.56284938724156;1;1;172;158
338.9408731368249;1;1;172;159
339.47269871819645;0;0;173;159
340.2719578888096;1;1;173;159
341.6800376617502;1;1;173;160
342.66933237878817;1;1;173;161
342.82175606794993;0;0;174;161
343.49197406593305;1;1;174;161
344.1286184084382;0;0;175;161
345.20480438358754;1;1;175;161
345.2576859272539;1;1;175;162
345.7060903011878;0;0;176;162
346.09456000035937;1;1;176;162
348.4778710019344;0;0;177;162
348.61155987735424;1;1;177;162
349.15406792945845;0;0;178;162
350.35282459471836;1;1;178;162
350.7486123423985;0;0;179;162
351.5702854074618;1;1;179;162
352.4471632052642;0;0;180;162
352.9637757373851;1;1;180;162
353.98350146425867;1;1;180;163
354.0673329924124;0;0;181;163
354.571390225275;1;1;181;163
354.7074495858619;1;1;181;164
355.9398767540452;1;1;181;165
356.4720857475028;1;1;181;166
357.3131445380383;1;1;181;167
357.38156722355643;1;1;181;168
359.559029079687;0;0;182;168
361.32376502057326;1;1;182;168
361.5833944411521;0;0;183;168
362.31558965724116;1;1;183;168
362.8259775216545;1;1;183;169
363.7141255083877;1;1;183;170
363.8456867801781;1;1;183;171
365.67193747969486;0;0;184;171
365.71191722569665;1;1;184;171
366.0984982133597;0;0;185;171
366.2743811072763;1;1;185;171
366.3224047828658;1;1;185;172
366.9881708644153;1;1;185;173
367.381600413295;1;1;185;174
368.0126466398278;0;0;186;174
368.03665480214715;1;1;186;174
