t;k;z;done;failed
0;0;0;0;0
0.23727069486128335;1;1;0;0
0.3437388006013663;0;0;1;0
1.3882316554942933;1;1;1;0
3.360759655281843;2;1;1;0
3.480653226491462;2;1;1;1
4.01303193266831;1;0;2;1
4.128827650368322;2;1;2;1
4.546688721621395;1;0;3;1
5.13128108896658;2;1;3;1
8.048639864415826;1;0;4;1
8.299883433529297;2;1;4;1
8.41046384120013;2;1;4;2
9.039241303449147;2;1;4;3
9.784949401257283;2;1;4;4
10.218975061559735;1;0;5;4
10.464008472590772;2;1;5;4
10.724184326498069;2;1;5;5
10.94389714216995;2;1;5;6
11.542689919934697;2;1;5;7
12.415538481847078;2;1;5;8
12.76857018862978;1;0;6;8
12.810818334038423;2;1;6;8
13.287749858955003;2;1;6;9
13.503745080341993;1;0;7;9
13.957638728198768;2;1;7;9
13.993197343109708;2;1;7;10
14.619773778767007;1;0;8;10
14.970708374862097;2;1;8;10
15.005905008545712;2;1;8;11
15.350394228955961;2;1;8;12
16.126908423902194;1;0;9;12
16.153139573379907;2;1;9;12
16.36228850060827;2;1;9;13
16.41322010862493;1;0;10;13
18.20398800613069;2;1;10;13
18.26403437851726;2;1;10;14
20.383286996057002;2;1;10;15
22.474798818616037;1;0;11;15
22.877395194943702;2;1;11;15
23.24451029362966;1;0;12;15
23.346366968955714;2;1;12;15
25.50442325281529;1;0;13;15
26.28037190939448;2;1;13;15
26.679342034977818;1;0;14;15
27.191560272601322;2;1;14;15
27.26259204839064;1;0;15;15
27.513623070122957;2;1;15;15
27.6396503552017;2;1;15;16
28.036704615524027;2;1;15;17
28.292919020356408;2;1;15;18
28.303461505081117;1;0;16;18
29.27087198363816;2;1;16;18
30.943526539951915;2;1;16;19
31.189543535230957;2;1;16;20
32.5248998553581;1;0;17;20
34.30474317092996;2;1;17;20
34.3494425624962;2;1;17;21
34.37713641795718;2;1;17;22
34.776834864895626;2;1;17;23
35.474922328592974;1;0;18;23
35.97326313737063;2;1;18;23
36.18697503375825;2;1;18;24
36.31292920772144;2;1;18;25
37.535768606110096;1;0;19;25
39.07018760151244;2;1;19;25
39.54009749447236;2;1;19;26
39.64603360525702;1;0;20;26
40.02786728435625;2;1;20;26
40.062873639376186;2;1;20;27
40.20644412760632;2;1;20;28
40.38836893771782;2;1;20;29
40.90812770274121;2;1;20;30
41.10590091631107;2;1;20;31
41.33689111688058;2;1;20;32
41.36459096727764;2;1;20;33
43.93487956887348;1;0;21;33
45.60694718459811;2;1;21;33
45.72336508236057;2;1;21;34
46.24205807479441;1;0;22;34
46.87461521586981;2;1;22;34
48.20107457135502;1;0;23;34
48.73546780082681;2;1;23;34
51.481529358400316;1;0;24;34
52.481562505580214;2;1;24;34
52.76107527858753;2;1;24;35
53.64839439147068;1;0;25;35
53.97086404322944;2;1;25;35
54.340733550537365;1;0;26;35
55.08002201467536;2;1;26;35
56.59853624779506;1;0;27;35
58.42540672082756;2;1;27;35
58.81829286834093;2;1;27;36
59.03452545583699;1;0;28;36
59.23595477558118;2;1;28;36
59.754549943734155;1;0;29;36
60.03932741049992;2;1;29;36
60.15935389479344;2;1;29;37
62.56598884568943;1;0;30;37
63.077793233120794;2;1;30;37
63.186822200617264;1;0;31;37
63.22167635877026;2;1;31;37
64.43064336431489;2;1;31;38
65.91296105558597;2;1;31;39
67.11333442230828;1;0;32;39
67.2286249072296;2;1;32;39
67.52853314643828;1;0;33;39
69.07196188659272;2;1;33;39
75.13740377562954;1;0;34;39
75.42828147383996;2;1;34;39
77.20668255391365;1;0;35;39
78.07677555482515;2;1;35;39
78.89030758060116;1;0;36;39
78.9615163486221;2;1;36;39
79.14991165877191;1;0;37;39
80.52183302960324;2;1;37;39
81.45764482754642;2;1;37;40
82.22103683071417;1;0;38;40
83.74277505286054;2;1;38;40
84.39287539802683;2;1;38;41
85.02172673711861;1;0;39;41
85.81933259307236;2;1;39;41
86.05977924682365;2;1;39;42
87.51838567828248;1;0;40;42
88.32803529946685;2;1;40;42
90.11077394332631;1;0;41;42
90.76198863508198;2;1;41;42
90.78102785214281;1;0;42;42
91.1142133150574;2;1;42;42
91.65092352357922;1;0;43;42
92.3424828267421;2;1;43;42
93.03441821976736;2;1;43;43
93.37219946335584;2;1;43;44
93.59339924264498;1;0;44;44
93.70853511548769;2;1;44;44
94.86232365679176;2;1;44;45
95.56311498542746;2;1;44;46
96.54391004251923;2;1;44;47
97.09600121772476;1;0;45;47
97.72189744085473;2;1;45;47
97.87812579191659;1;0;46;47
98.03499148808665;2;1;46;47
98.3896084142337;2;1;46;48
100.83130144007062;1;0;47;48
101.23577497645648;2;1;47;48
101.74621754765587;1;0;48;48
101.81664245623837;2;1;48;48
102.35488033250796;1;0;49;48
102.58181099149064;2;1;49;48
103.98798774150717;1;0;50;48
104.1448104551174;2;1;50;48
105.76527462381296;1;0;51;48
106.08732588143835;2;1;51;48
106.5075978454524;2;1;51;49
108.03988100188182;1;0;52;49
108.14629435291414;2;1;52;49
108.29027465239466;1;0;53;49
108.46412797737656;2;1;53;49
110.70423560618899;1;0;54;49
110.82119226381305;2;1;54;49
112.58012457519226;2;1;54;50
112.66071452574865;2;1;54;51
113.40510391262377;1;0;55;51
113.66341079624173;2;1;55;51
113.89388036231959;2;1;55;52
114.28573365229937;2;1;55;53
117.10990348458957;1;0;56;53
117.29129954386258;2;1;56;53
117.40626021857636;2;1;56;54
118.05118779046887;2;1;56;55
118.43233540472825;2;1;56;56
118.95425135094467;2;1;56;57
119.80542545569614;2;1;56;58
119.83993725556786;2;1;56;59
